"Source:","/home/m4v/Facultad/Trabajo Final/github/kicad/horno.sch"
"Date:","jue 15 sep 2016 01:07:00 ART"
"Tool:","Eeschema 4.0.2+e4-6225~38~ubuntu15.10.1-stable"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","51"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C1, C4, C3, ","4","220nF","C","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor",""
"C7, C5, C11, C9, C14, ","5","0,1uF","C_Small","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor",""
"C8, C6, C12, C10, ","4","0.1uF","C","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor",""
"C13, ","1","1uF","CP_Small","Capacitors_ThroughHole:C_Radial_D5_L6_P2.5","Polarised capacitor",""
"C15, ","1","C","C","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor",""
"P1, ","1","LPC1769","CONN_LPC1769","Horno:Pin_Header_LPCXpresso_LPC1769","Connector LPCXpresso LPC1769",""
"P3, ","1","Termocupla","CONN_01X02","Connect:bornier2","Connector 01x02",""
"P4, ","1","TRIAC","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","Connector 01x02",""
"P5, ","1","24V","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","Connector 01x02",""
"P6, ","1","Motor","CONN_01X05","Pin_Headers:Pin_Header_Angled_1x05","Connector 01x05",""
"P7, ","1","Pantalla","CONN_02X11","Pin_Headers:Pin_Header_Straight_2x11","Connector 02x11",""
"P8, ","1","UART","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","Connector 01x03",""
"P9, ","1","GPIO","CONN_02X12","Pin_Headers:Pin_Header_Straight_2x12","Connector 02x12",""
"P10, ","1","Alimentación","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","Connector 01x03",""
"Q1, ","1","BC547","BC547","TO_SOT_Packages_THT:TO-92_Inline_Wide","45V Vce, 0.1A Ic, NPN, Small Signal Transistor, TO-92",""
"R1, ","1","10k","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"R3, R2, R7, ","3","56k","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"R4, R8, ","2","330k","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"R5, ","1","1,5k","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"R6, ","1","120k","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"R9, R10, ","2","R","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor",""
"RV2, RV1, RV3, ","3","POT","POT","Potentiometers:Potentiometer_Bourns_3005_Angular_ScrewFront","Potentionmetre",""
"SW1, ","1","RST","SW_PUSH","Buttons_Switches_ThroughHole:SW_PUSH_6mm","Button",""
"U2, U1, U4, ","3","OP07","OP07","Housings_DIP:DIP-8_W7.62mm_LongPads","Op amp",""
"U3, ","1","LTC1050","LTC1050","Housings_DIP:DIP-8_W7.62mm_LongPads","Zero drift operational amplifier",""
"U5, ","1","L293D","L293D","Housings_DIP:DIP-16_W7.62mm_LongPads","",""
"U6, ","1","LM35","LM35","TO_SOT_Packages_THT:TO-92_Inline_Wide","",""
"W1, ","1","Lm1","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
"W2, ","1","Lm2","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
"W3, ","1","Lm3","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
"W4, ","1","Th1","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
"W5, ","1","Th2","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
"W6, ","1","Th3","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big","point",""
